id;status;started_date;end_date;employee_username
1;DOING;2022-04-12T02:22:39;2022-04-11T12:27:19;harness dedicated interactive
2;TO_DO;2022-04-12T05:21:54;2022-04-11T14:54:19;synthesize Games FTP
3;TO_DO;2022-04-11T19:27:58;2022-04-11T06:52:47;Ball Facilitator
4;DOING;2022-04-11T06:35:25;2022-04-11T06:25:34;navigating Keyboard
5;DONE;2022-04-12T02:48:02;2022-04-11T07:33:10;communities withdrawal
6;INACTIVE;2022-04-12T03:07:55;2022-04-12T04:19:44;reboot quantify Alaska
7;DONE;2022-04-11T07:09:47;2022-04-11T19:33:27;Monaco capacitor Operative
8;TO_DO;2022-04-11T12:53:53;2022-04-11T22:12:54;input
9;DONE;2022-04-12T00:10:45;2022-04-12T02:57:07;Games
10;TO_DO;2022-04-12T05:31:00;2022-04-11T22:30:18;Meadows workforce Arkansas
